nome;is_person;role_detail;role_group;numero_episodio;dubbing_type;imdb_nconst;nome_corretto_imdb;imdb_action
ANGELA FELLENBERG;True;2ND UNIT VIDEO OPERATORS;Camera and Electrical Department;Dark S01E09;;nm5005353;Angela Fellenberg;A
DIETMAR HAUPT;True;2ND UNIT GAFFERS;Camera and Electrical Department;Dark S01E09;;nm0369435;Dietmar Haupt;A
DAVID ROSCHKE;True;2ND UNIT ELECTRICIANS;Camera and Electrical Department;Dark S01E09;;nm4569806;David Roschke;A
LARS VOIGTLƒNDER;True;2ND UNIT GAFFERS;Camera and Electrical Department;Dark S01E09;;nm2015026;Lars Voigtländer;M
MARTIN ROTH;True;2ND UNIT ELECTRICIANS;Camera and Electrical Department;Dark S01E09;;;MARTIN ROTH;X
OLIVER JOEST;True;2ND UNIT ELECTRICIANS;Camera and Electrical Department;Dark S01E09;;nm4844277;Oliver Joest;A
HOLGER OHLHUS;True;2ND UNIT ELECTRICIANS;Camera and Electrical Department;Dark S01E09;;nm1327767;Holger Olhus;M
MARC WIESENTHAL;True;2ND UNIT ELECTRICIANS;Camera and Electrical Department;Dark S01E09;;nm2387048;Marc Wiesenthal;A
MATTHIAS EDINGER;True;2ND UNIT ELECTRICIANS;Camera and Electrical Department;Dark S01E09;;nm0249354;Matthias Edinger;A
DIRK SIEHLMANN;True;2ND UNIT ELECTRICIANS;Camera and Electrical Department;Dark S01E09;;nm1762897;Dirk Siehlmann;A
PATRICK WÄCHTER;True;2ND UNIT ELECTRICIANS;Camera and Electrical Department;Dark S01E09;;nm1124608;Patrick Wächter;A
ANDREAS RICHTER;True;2ND UNIT ELECTRICIANS;Camera and Electrical Department;Dark S01E09;;;ANDREAS RICHTER;X
FLOW JEAN-LOUIS;True;2ND UNIT ELECTRICIANS;Camera and Electrical Department;Dark S01E09;;nm1319404;Flow Jean Louis;M
Ludovic Simeon;True;Assistant vidéo;Camera and Electrical Department;Amelie;;;Ludovic Simeon;X
Marc Von Kuk;True;Électriciens;Camera and Electrical Department;Amelie;;nm1992359;Marc Von Kuk;A
Timo Von Burgsdorf;True;Électriciens;Camera and Electrical Department;Amelie;;nm1222178;Timo von Burgsdorf;A
Sophie Mollard;True;Stagiaire;Camera and Electrical Department;Amelie;;;Sophie Mollard;X
Jean-Christophe Duwez;True;Électriciens;Camera and Electrical Department;Amelie;;;Jean-Christophe Duwez;X
Joël Spinola;True;Électriciens;Camera and Electrical Department;Amelie;;nm1201033;Joel Spinola;A
Yves Kohen;True;Électriciens;Camera and Electrical Department;Amelie;;nm0463196;Yves Kohen;A
Yves Quehec;True;Électriciens;Camera and Electrical Department;Amelie;;;Yves Quehec;X
Olivier Cazzitti;True;Électriciens;Camera and Electrical Department;Amelie;;nm1220437;Olivier Cazzitti;A
Michel Sabourdy;True;Chefs électriciens;Camera and Electrical Department;Amelie;;nm0754876;Michel Sabourdy;A
Jim Howe;True;Chefs électriciens;Camera and Electrical Department;Amelie;;nm0397844;Jim Howe;A
Eric Dupressoir;True;Groupiste;Camera and Electrical Department;Amelie;;nm0243435;Eric Dupressoir;A
Thomas Sidopoulos;True;Renfort;Camera and Electrical Department;Amelie;;nm0796672;Thomas Sidopoulos;A
Dominique Lepage;True;Machinistes;Camera and Electrical Department;Amelie;;nm1221149;Dominique Lepage;A
Robert Dona;True;Machinistes;Camera and Electrical Department;Amelie;;nm0231861;Robert Dona;A
Bruno Dubet;True;Chef machiniste;Camera and Electrical Department;Amelie;;nm0239264;Bruno Dubet;A
Jorg Widmer;True;Renfort;Camera and Electrical Department;Amelie;;nm0002152;Jörg Widmer;A
Patrick de Ranter;True;Steadicam;Camera and Electrical Department;Amelie;;nm0211078;Patrick de Ranter;A
Thierry Tronchet;True;Assistée de;Camera and Electrical Department;Amelie;;nm0873504;Thierry Tronchet;A
Dominique Colin;True;Cameraman manivelle;Camera and Electrical Department;Amelie;;;Dominique Colin;X
Georgi Lazarevsky;True;Assistée de;Camera and Electrical Department;Amelie;;nm1030794;Georgi Lazarevski;M
Laurent Thiery;True;Machinistes;Camera and Electrical Department;Amelie;;nm1221942;Laurent Thiery;A
Vlasta Kostic;True;Électriciens;Camera and Electrical Department;Amelie;;nm1221083;Vlasta Kostic;A
MANU ROMANIEGA;True;Maquinista;Camera and Electrical Department;El desorden que dejas S01E03;;;MANU ROMANIEGA;X
MIGUEL NOVAL;True;Eléctricos;Camera and Electrical Department;El desorden que dejas S01E03;;;MIGUEL NOVAL;X
Thomas Brucge;True;Électriciens;Camera and Electrical Department;Amelie;;;Thomas Brucge;X
Stefan De Leeuw;True;Assistants caméra;Camera and Electrical Department;Amelie;;nm1222150;Stefan de Leuw;M
FLORIAN SCHWARZ;True;2ND ASSISTANT A-CAMERA;Camera and Electrical Department;Dark S01E09;;;FLORIAN SCHWARZ;X
Sandra Oumar;True;Assistants caméra;Camera and Electrical Department;Amelie;;nm0653591;Sandra Oumar;A
JAIME PÉREZ;True;Operadores Cámara;Camera and Electrical Department;El desorden que dejas S01E03;;;JAIME PÉREZ;X
GUILLERMO MORENO;True;Operadores Cámara;Camera and Electrical Department;El desorden que dejas S01E03;;nm15950878;Guillermo Moreno;A
ALBERTE VÁZQUEZ;True;Foquista A;Camera and Electrical Department;El desorden que dejas S01E03;;nm5649803;Alberte Vázquez;A
VÍCTOR RODRÍGUEZ SÁNCHEZ;True;Foquista B;Camera and Electrical Department;El desorden que dejas S01E03;;nm16944890;Víctor Rodríguez Sánchez;A
JUAN FIGUEIRAS;True;Eléctricos;Camera and Electrical Department;El desorden que dejas S01E03;;nm1850014;Juan Figueiras;A
INÉS NUÑO DEL BARRIO;True;Auxiliares de Cámara;Camera and Electrical Department;El desorden que dejas S01E03;;;INÉS NUÑO DEL BARRIO;X
JAVIER RÍOS RODRÍGUEZ;True;DIT;Camera and Electrical Department;El desorden que dejas S01E03;;;JAVIER RÍOS RODRÍGUEZ;X
ILLANA COSSÍO;True;Video Assist;Camera and Electrical Department;El desorden que dejas S01E03;;nm4667332;Illana Cossio;A
GEMMA CASTELO;True;Meritoria Cámara;Camera and Electrical Department;El desorden que dejas S01E03;;;GEMMA CASTELO;X
"ALFREDO ARCOS ""UNCHI""";True;Jefe de Maquinistas;Camera and Electrical Department;El desorden que dejas S01E03;;;"ALFREDO ARCOS ""UNCHI""";X
PIO;True;Eléctricos;Camera and Electrical Department;El desorden que dejas S01E03;;nm10220138;Pío;A
IVÁN BELLO;True;Eléctricos;Camera and Electrical Department;El desorden que dejas S01E03;;;IVÁN BELLO;X
SERGIO ABAD;True;Eléctricos;Camera and Electrical Department;El desorden que dejas S01E03;;nm1853748;Sergio Abad;A
ANA ALDREY;True;Eléctricos;Camera and Electrical Department;El desorden que dejas S01E03;;nm2893733;Ana Aldrey;A
JUAN RAMIL;True;Auxiliares de Cámara;Camera and Electrical Department;El desorden que dejas S01E03;;nm3411186;Juan Ramil;A
YOSHUA BERKOWITZ;True;B-CAMERA / STEADICAM OPERATOR;Camera and Electrical Department;Dark S01E09;;nm3829056;Yoshua Berkowitz;A
CLEMENS SZELIES;True;ASSISTANT VIDEO OPERATORS;Camera and Electrical Department;Dark S01E09;;nm3893040;Clemens Szelies;A
ANTHONY VAN DYKE;True;Company Electricians;Camera and Electrical Department;Fight Club;;nm0886704;Anthony Van Dyk;M
DICK WHITE;True;Aerial Coordinators;Camera and Electrical Department;Apocalypse Now;;nm0924715;Dick White;A
JOSH WEINER;True;Still Photographers;Camera and Electrical Department;Apocalypse Now;;;JOSH WEINER;X
CHAS GERRETSEN;True;Still Photographers;Camera and Electrical Department;Apocalypse Now;;nm0314734;Chas Gerretsen;A
HIRO NARITA;True;Insert Camera Operator;Camera and Electrical Department;Apocalypse Now;;nm0005812;Hiro Narita;A
PIERO SERVO;True;2nd Unit Cameraman;Camera and Electrical Department;Apocalypse Now;;nm0785860;Piero Servo;A
GIUSEPPE ALBERTI;True;Camera Assistants;Camera and Electrical Department;Apocalypse Now;;nm0016644;Giuseppe Alberti;A
ROGILIO De La RAMA;True;Camera Assistants;Camera and Electrical Department;Apocalypse Now;;nm0209362;Rogilio De La Rama;A
EFREN LAPID;True;Camera Assistants;Camera and Electrical Department;Apocalypse Now;;nm0487495;Efren Lapid;A
MAURO MARCHETTI;True;Camera Assistants;Camera and Electrical Department;Apocalypse Now;;;MAURO MARCHETTI;X
RINO BERNARDINI;True;Camera Assistants;Camera and Electrical Department;Apocalypse Now;;;RINO BERNARDINI;X
ENRICO UMETELLI;True;Camera Operator;Camera and Electrical Department;Apocalypse Now;;nm0880866;Enrico Umetelli;A
JOSEPH A. KELLY;True;Key Grip;Camera and Electrical Department;Twin Peaks S01E03;;;JOSEPH A. KELLY;X
ROBERT FERRARA;True;Gaffer;Camera and Electrical Department;Twin Peaks S01E03;;nm0273955;Robert Ferrara;A
BETH COTTER;True;2nd Assistant Camera;Camera and Electrical Department;Twin Peaks S01E03;;nm0182949;Beth Cotter;A
RUDY FENENGA JR.;True;1st Assistant Camera;Camera and Electrical Department;Twin Peaks S01E03;;;RUDY FENENGA JR.;X
Virgilio Palone;True;Capo Squadra Elettricista;Camera and Electrical Department;Romanzo criminale S01E01;;nm0658769;Virgilio Palone;A
Giuseppe Antonelli;True;Elettricisti;Camera and Electrical Department;Romanzo criminale S01E01;;nm1521759;Giuseppe Antonelli;A
Loris Felici;True;Elettricisti;Camera and Electrical Department;Romanzo criminale S01E01;;nm8552987;Loris Felici;A
Dario Tosti;True;Elettricisti;Camera and Electrical Department;Romanzo criminale S01E01;;nm2445736;Dario Tosti;A
Michele Pellegrini;True;Elettricisti;Camera and Electrical Department;Romanzo criminale S01E01;;nm1094556;Michele Pellegrini;A
Giovanni Battista Squillace;True;Gruppista;Camera and Electrical Department;Romanzo criminale S01E01;;;Giovanni Battista Squillace;X
Marco Moroni;True;Capi Squadra Macchinisti;Camera and Electrical Department;Romanzo criminale S01E01;;nm4133375;Marco Moroni;A
MICHAEL J. COO;True;Key Grip;Camera and Electrical Department;Fight Club;;nm0176832;Michael J. Coo;A
CRAIG KOHTALA;True;Best Boy Grip;Camera and Electrical Department;Fight Club;;nm0463479;Craig Kohtala;A
RHETT WOODEN;True;Fox Best Boy Grip;Camera and Electrical Department;Fight Club;;nm0940241;Rhett Wooden;A
DAVID JONES;True;Aerial Coordinators;Camera and Electrical Department;Apocalypse Now;;;DAVID JONES;X
MICHAEL BRENNAN;True;Dolly Grip;Camera and Electrical Department;Fight Club;;;MICHAEL BRENNAN;X
DAVID BUTLER;True;Aerial Cameraman;Camera and Electrical Department;Apocalypse Now;;;DAVID BUTLER;X
Gianluca Pennestri;True;Assistenti Operatore II Unita;Camera and Electrical Department;Romanzo criminale S01E01;;nm1315477;Gianluca Pennestri;A
MIKE BONNAUD;True;Electricians;Camera and Electrical Department;Se7en;;nm0094815;Mike Bonnaud;A
MIKE POPOVICH;True;Key Grip;Camera and Electrical Department;Se7en;;;MIKE POPOVICH;X
ED MEDIN;True;Electricians;Camera and Electrical Department;Se7en;;nm0575614;Ed Medin;A
CHRIS FRANCO;True;Electricians;Camera and Electrical Department;Se7en;;nm0290519;Chris Franco;A
MICHAEL COO;True;Key Grip;Camera and Electrical Department;Se7en;;;MICHAEL COO;X
WILLIAM E. FITCH;True;Best Boy Grip;Camera and Electrical Department;Se7en;;nm0280029;William E. Fitch;A
MICHAEL BRENNAN;True;Dolly Grip;Camera and Electrical Department;Se7en;;;MICHAEL BRENNAN;X
NICO BALLY;True;Grips;Camera and Electrical Department;Se7en;;nm0050945;Nico Bally;A
DANIEL COOK;True;Grips;Camera and Electrical Department;Se7en;;;DANIEL COOK;X
BILLY BOB LESLIE;True;Grips;Camera and Electrical Department;Se7en;;;BILLY BOB LESLIE;X
LARRY AUBE;True;Key Rigging Grip;Camera and Electrical Department;Se7en;;nm0041264;Larry J. Aube;M
DENNIS MCLEAN;True;Rigging Grips;Camera and Electrical Department;Se7en;;nm0572527;Dennis McLean;A
JOHN MCGRAHAM;True;Rigging Grips;Camera and Electrical Department;Se7en;;nm0569740;John McGraham;A
JOE GRAHAM;True;Rigging Grips;Camera and Electrical Department;Se7en;;;JOE GRAHAM;X
ANTHONY PETRILLA;True;Rigging Grips;Camera and Electrical Department;Se7en;;nm0678002;Anthony Petrilla;A
"TOM ""CHICK MAGNET"" LOEWY";True;Video Engineer;Camera and Electrical Department;Se7en;;;"TOM ""CHICK MAGNET"" LOEWY";X
Andrea Grossi;True;Video Assistant;Camera and Electrical Department;Romanzo criminale S01E01;;nm4706249;Andrea Grossi;A
Emanuela Scarpa;True;Fotografo di Scena;Camera and Electrical Department;Romanzo criminale S01E01;;nm4348029;Emanuela Scarpa;A
Ivan Casalgrandi;True;Direttore Fotografia II Unita;Camera and Electrical Department;Romanzo criminale S01E01;;nm0142834;Ivan Casalgrandi;A
Giovanni Galasso;True;Operatore di Macchina II Unita;Camera and Electrical Department;Romanzo criminale S01E01;;nm0301698;Giovanni Galasso;A
Vittorio Omodei Zorini;True;Operatore di Macchina II Unita;Camera and Electrical Department;Romanzo criminale S01E01;;nm0648440;Vittorio Omodei Zorini;A
Carlo Passari;True;Operatore di Macchina Aggiunto;Camera and Electrical Department;Romanzo criminale S01E01;;;Carlo Passari;X
Simone Ginanneschi;True;Assistenti Operatori Aggiunti;Camera and Electrical Department;Romanzo criminale S01E01;;nm1145368;Simone Ginanneschi;A
Cristina Capone;True;Assistenti Operatori Aggiunti;Camera and Electrical Department;Romanzo criminale S01E01;;nm0135337;Cristina Capone;A
Gianluca Bombardone;True;Assistenti Operatore II Unita;Camera and Electrical Department;Romanzo criminale S01E01;;nm2391775;Gianluca Bombardone;A
DAVID NOWELL;True;Assistant Cameramen;Camera and Electrical Department;Apocalypse Now;;;DAVID NOWELL;X
MONTY WOODARD;True;Electricians;Camera and Electrical Department;Se7en;;nm0940146;Monty Woodard;A
LARRY AUBE;True;Rigging Key Grip;Camera and Electrical Department;Fight Club;;nm0041264;Larry J. Aube;M
MARK IZOTIKOV;True;Electricians;Camera and Electrical Department;Chernobyl S01E01;;;MARK IZOTIKOV;X
MAREK KORVIN;True;Key Grip;Camera and Electrical Department;Chernobyl S01E01;;;MAREK KORVIN;X
KARINA GENIS;True;2nd Assistant Camera;Camera and Electrical Department;Chernobyl S01E01;;nm6131021;Karina Genis;A
ELINA ERÄNAN;True;1st Assistant Camera;Camera and Electrical Department;Chernobyl S01E01;;nm3309921;Elina Eränen;M
SHAWN GOLDSTEIN;True;Electric;Camera and Electrical Department;Se7en;;nm0326324;Shawn Goldstein;A
PASQUALE DE SANTIS;True;OPERATORE;Camera and Electrical Department;8 1-2;;;PASQUALE DE SANTIS;X
Cesare Guarino;True;Capi Squadra Macchinisti;Camera and Electrical Department;Romanzo criminale S01E01;;nm1000964;Cesare Guarino;A
Massimo Diamanti;True;Macchinisti;Camera and Electrical Department;Romanzo criminale S01E01;;nm8863842;Massimo Diamanti;A
Roberto Torsellini;True;Macchinisti;Camera and Electrical Department;Romanzo criminale S01E01;;nm4706198;Roberto Torsellini;A
Claudio Ricci;True;Macchinisti;Camera and Electrical Department;Romanzo criminale S01E01;;nm1035939;Claudio Ricci;A
Massimo Gattobigio;True;Macchinisti;Camera and Electrical Department;Romanzo criminale S01E01;;nm3457029;Massimo Gattobigio;A
JEFF CRONENWETH;True;Camera Operator;Camera and Electrical Department;Se7en;;nm0188729;Jeff Cronenweth;A
LIAM DANIEL;True;Stills Photographer;Camera and Electrical Department;Chernobyl S01E01;;nm0199681;Liam Daniel;A
JULIAN WHATLEY;True;First Assistant Camera;Camera and Electrical Department;Se7en;;nm0923620;Julian Whatley;A
MIKE ADLER;True;Electric;Camera and Electrical Department;Se7en;;;MIKE ADLER;X
EDDIE MALONEY;True;Best Boy Gaffer;Camera and Electrical Department;Se7en;;;EDDIE MALONEY;X
CLAUDIO MIRANDA;True;Gaffer;Camera and Electrical Department;Se7en;;nm0592073;Claudio Miranda;A
TOMMY RUFFNER;True;2nd Dolly Grip;Camera and Electrical Department;Se7en;;;TOMMY RUFFNER;X
STEVE MATZINGER;True;Second Assistant Camera;Camera and Electrical Department;Se7en;;;STEVE MATZINGER;X
MARK MYERS;True;Dolly Grip;Camera and Electrical Department;Se7en;;;MARK MYERS;X
MITCH DUBIN;True;Camera Operator;Camera and Electrical Department;Se7en;;nm0239307;Mitch Dubin;A
GREG SCHMIDT;True;Camera First Assistant;Camera and Electrical Department;Se7en;;;GREG SCHMIDT;X
BRENT BEAL;True;Camera Second Assistant;Camera and Electrical Department;Se7en;;nm0063598;Brent Beal;A
MICHAEL KELEM;True;Gyrosphere Operator;Camera and Electrical Department;Se7en;;nm0445430;Michael Kelem;A
TOM GIBSON;True;Best Boy Grip;Camera and Electrical Department;Se7en;;nm2356389;Tom Gibson;A
CHUCK TAMBURRO;True;Aerial Coordinator;Camera and Electrical Department;Se7en;;;CHUCK TAMBURRO;X
JURIJ CHARCIUK;True;Grip;Camera and Electrical Department;Chernobyl S01E01;;nm1304445;Jurij Charciuk;A
MICHAEL SANTORO;True;Rigging Best Boy Grips;Camera and Electrical Department;Fight Club;;;MICHAEL SANTORO;X
CHRISTOPHER NORIN;True;Gaffer;Camera and Electrical Department;Chernobyl S01E01;;nm1133749;Christopher Norin;A
ROKAS BUGAILISKIS;True;Electricians;Camera and Electrical Department;Chernobyl S01E01;;nm10721416;Rokas Bugailiskis;A
VICTOR SNISAREVKO;True;Electricians;Camera and Electrical Department;Chernobyl S01E01;;nm8006430;Victor Snisarenko;M
PAVEL CHUYKO;True;Grip;Camera and Electrical Department;Chernobyl S01E01;;nm8872442;Pavel Chuiko;M
SERAFIM GORELOV;True;Key Grip;Camera and Electrical Department;Chernobyl S01E01;;nm6930216;Serafim Gorelov;A
DENIS KLUBNICHKIN;True;Drone Pilot;Camera and Electrical Department;Chernobyl S01E01;;nm10838752;Denis Klubnichkin;A
ROBERT J. REILLY;True;Rigging Best Boy Grips;Camera and Electrical Department;Fight Club;;nm0717737;Robert J. Reilly;A
DMITRIY KLUBNICHKIN;True;Drone Operator;Camera and Electrical Department;Chernobyl S01E01;;nm10838751;Dmitry Klubnichkin;M
ALEKSANDER VERMUL;True;Video Assistant;Camera and Electrical Department;Chernobyl S01E01;;nm10987518;Alexander Vermul;M
NIKOLAY PIGAREV;True;DIT;Camera and Electrical Department;Chernobyl S01E01;;;NIKOLAY PIGAREV;X
REN CHITOBA-LEE;True;Clapper Loader;Camera and Electrical Department;Chernobyl S01E01;;;REN CHITOBA-LEE;X
ANDREY SHILOV;True;2nd Assistant Camera;Camera and Electrical Department;Chernobyl S01E01;;nm10987519;Andrey Shlov;M
ALEKSANDR BUDARIN;True;1st Assistant Camera/Focus Puller;Camera and Electrical Department;Chernobyl S01E01;;;ALEKSANDR BUDARIN;X
NICO BALLY;True;Company Grips;Camera and Electrical Department;Fight Club;;nm0050945;Nico Bally;A
SERGIY PONOCHEVNY;True;2nd Unit Video Assistant;Camera and Electrical Department;Chernobyl S01E01;;;SERGIY PONOCHEVNY;X
ANDREW GOROVOY;True;2nd Chief Electrician;Camera and Electrical Department;Chernobyl S01E01;;nm6025055;Andrew Gorovyi;M
OLEG BUBLYK;True;2nd Unit Best Boy;Camera and Electrical Department;Chernobyl S01E01;;nm6034213;Oleg Bublik;M
VALERA LATUGA;True;2nd Unit Gaffer;Camera and Electrical Department;Chernobyl S01E01;;nm2966573;Valery Latuga;M
MAKSYM MAKSYMCHUK;True;Chief Electrician;Camera and Electrical Department;Chernobyl S01E01;;nm17133168;Maksim Maksymchuk;M
YURIY RYBCHENKO;True;Best Boy;Camera and Electrical Department;Chernobyl S01E01;;nm12719877;Yuriy Bychenko;M
MYHAILO SHASHKO;True;Gaffer;Camera and Electrical Department;Chernobyl S01E01;;;MYHAILO SHASHKO;X
JOHN P. CLEVELAND;True;Company Grips;Camera and Electrical Department;Fight Club;;nm0166487;John P. Cleveland;A
KEN COTTENGIM, JR.;True;Company Grips;Camera and Electrical Department;Fight Club;;nm1004186;Ken Cottengim Jr.;A
MICHAEL CHARBONNET;True;Wescam Technician;Camera and Electrical Department;Se7en;;nm0152786;Michael Charbonnet;A
STAN MCCLAIN;True;Wescam Operator;Camera and Electrical Department;Se7en;;nm0565623;Stan McClain;A
MELODIE MCDANIEL;True;John Doe's Photographs by;Camera and Electrical Department;Se7en;;nm0567423;Melodie McDaniel;A
VYTAUTAS JANCIAUSKAS;True;Electricians;Camera and Electrical Department;Chernobyl S01E01;;;VYTAUTAS JANCIAUSKAS;X
OLEG POLOZKOV;True;Best Boy;Camera and Electrical Department;Chernobyl S01E01;;nm2476048;Oleg Polozkov;A
Liviu Ciprian Suhar;True;Aiuto Operatore;Camera and Electrical Department;Romanzo criminale S01E01;;nm1904528;Liviu Ciprian Suhar;A
ADAM GLICK;True;Electricians;Camera and Electrical Department;Se7en;;;ADAM GLICK;X
Massimiliano Ricci;True;Assistente Operatore;Camera and Electrical Department;Romanzo criminale S01E01;;nm1161694;Massimiliano Ricci;A
JONAS BURNICKIS;True;Drone Operators;Camera and Electrical Department;Chernobyl S01E01;;nm5533558;Jonas Burnickis;A
MATAS JANKAUSKAS;True;Drone Operators;Camera and Electrical Department;Chernobyl S01E01;;nm13165863;Matas Jankauskas;A
GUSTAV GERDES;True;Drone Operators;Camera and Electrical Department;Chernobyl S01E01;;nm9739201;Gustav Gerdes;A
GVIDO PUKE;True;Drone Operators;Camera and Electrical Department;Chernobyl S01E01;;nm7992865;Gvido Puke;A
LINAS STANKEVICIUS;True;Q Take Operator;Camera and Electrical Department;Chernobyl S01E01;;nm10719697;Linas Stankevicius;A
NIKOLAS VERSECKAS;True;Video Assistants;Camera and Electrical Department;Chernobyl S01E01;;nm9869026;Nikolas Verseckas;A
MATAS JURGINIS;True;Video Assistants;Camera and Electrical Department;Chernobyl S01E01;;nm9583628;Matas Jurginis;A
FILIP LYMAN;True;B Camera Operator;Camera and Electrical Department;Chernobyl S01E01;;nm4182076;Filip Lyman;A
SIMONAS JAKUBAUSKAS;True;Drone Operators;Camera and Electrical Department;Chernobyl S01E01;;nm10677433;Simonas Jakubauskas;A
CONRAD W. HALL;True;Camera Operator;Camera and Electrical Department;Fight Club;;;CONRAD W. HALL;X
TOBIAS HENRIKSSON;True;Gaffer;Camera and Electrical Department;Chernobyl S01E01;;;TOBIAS HENRIKSSON;X
EGIDIJUS BRAZIUNAS;True;Rigging Gaffer;Camera and Electrical Department;Chernobyl S01E01;;nm2027054;Egidijus Braziunas;A
JOHN DAILLEY;True;Camera Supervisor;Camera and Electrical Department;Yes, Prime Minister S01E08;;nm1112223;John Dailley;A
RON BRISTOW;True;Lighting Director;Camera and Electrical Department;Yes, Prime Minister S01E08;;nm0109961;Ron Bristow;A
GIEDRIUS BUKAITIS;True;Best Boy;Camera and Electrical Department;Chernobyl S01E01;;nm2951196;Giedrius Bukaitis;A
Giorgio Abruzzetti;True;II Assistente Operatore;Camera and Electrical Department;Romanzo criminale S01E01;;nm3832911;Giorgio Abbruzzetti;M
Ivan Casalgrandi;True;Operatore di Macchina;Camera and Electrical Department;Romanzo criminale S01E01;;nm0142834;Ivan Casalgrandi;A
MARIUS SMAILYS;True;Set Dressers;Camera and Electrical Department;Chernobyl S01E01;;;MARIUS SMAILYS;X
ANTS MARTIN VAHUR;True;A Camera/Steadicam Operator;Camera and Electrical Department;Chernobyl S01E01;;nm1869806;Ants Martin Vahur;A
MARTYNAS VINCIUNAS;True;Set Dressers;Camera and Electrical Department;Chernobyl S01E01;;;MARTYNAS VINCIUNAS;X
CHRISTIAN PELLVING;True;Drone Operators;Camera and Electrical Department;Chernobyl S01E01;;nm10718112;Christian Pellving;A
DOVYDAS STRIOGA;True;Grips;Camera and Electrical Department;Chernobyl S01E01;;nm12542036;Dovydas Strioga;A
SAULIUS LUKOSEVICIUS;True;Additional Camera Operators;Camera and Electrical Department;Chernobyl S01E01;;nm4395436;Saulius Lukosevicius;A
FELIKSAS ABRUKAUSKAS;True;Additional Camera Operators;Camera and Electrical Department;Chernobyl S01E01;;nm1673508;Feliksas Abrukauskas;A
J-P PASSI;True;Additional Camera Operators;Camera and Electrical Department;Chernobyl S01E01;;;J-P PASSI;X
MANTAUTAS KLIMAS;True;Camera Trainee;Camera and Electrical Department;Chernobyl S01E01;;nm9097758;Mantautas Klimas;A
ALEKSANDR PETROVSKIJ;True;2nd Assistant Camera: B Camera;Camera and Electrical Department;Chernobyl S01E01;;nm7057679;Aleksandr Petrovskij;A
LUCIANO GALLI;True;Gaffer;Camera and Electrical Department;Apocalypse Now;;nm0302861;Luciano Galli;A
ALFREDO MARCHETTI;True;Key Grip;Camera and Electrical Department;Apocalypse Now;;nm0545558;Alfredo Marchetti;A
KARIN JAKOBSSON;True;2nd Assistant Camera: A Camera;Camera and Electrical Department;Chernobyl S01E01;;nm6645764;Karin Jacobsson;M
JANNE JANNSEN;True;Drone Operators;Camera and Electrical Department;Chernobyl S01E01;;;JANNE JANNSEN;X
ROLANDAS JONELUKSTIS;True;1st Assistant Camera: B Camera;Camera and Electrical Department;Chernobyl S01E01;;nm1371051;Rolandas Joneliukstis;M
AUDRIUS BUDRYS;True;Additional Camera Operators;Camera and Electrical Department;Chernobyl S01E01;;nm2913712;Audrius Budrys;A
RIMVYDAS LEIPUS;True;Additional Camera Operators;Camera and Electrical Department;Chernobyl S01E01;;nm0500511;Rimvydas Leipus;A
MARC-JASON MAIER;True;DIT;Camera and Electrical Department;Chernobyl S01E01;;;MARC-JASON MAIER;X
TITAS OBELENIS;True;Data Wrangler/2nd Unit DIT;Camera and Electrical Department;Chernobyl S01E01;;nm2351452;Titas Obelenis;A
JUSTINAS PETRAVICIUS;True;Data Wrangler;Camera and Electrical Department;Chernobyl S01E01;;nm6215385;Justinas Petravicius;A
VYTAS GUDLEVICIUS;True;Key Grip;Camera and Electrical Department;Chernobyl S01E01;;nm1673793;Vytas Gudlevicius;A
HENRIKAS GUDLEVICIUS;True;Best Boy Grip;Camera and Electrical Department;Chernobyl S01E01;;nm5345967;Henrikas Gudlevicius;A
MARIUS ZILENAS;True;Grips;Camera and Electrical Department;Chernobyl S01E01;;nm9097753;Marius Zilenas;A
SOFIA LARSSON;True;1st Assistant Camera: A Camera;Camera and Electrical Department;Chernobyl S01E01;;;SOFIA LARSSON;X
VIDMANTAS KRALIKAUSKAS;True;Electricians;Camera and Electrical Department;Chernobyl S01E01;;nm0469389;Vidmantas Kralikauskas;A
DON MORGAN;True;Aerial Cameraman;Camera and Electrical Department;Se7en;;;DON MORGAN;X
HAROLD J. SKINNER;True;Company Electricians;Camera and Electrical Department;Fight Club;;nm0804256;Harold Skinner;M
PETER SOREL;True;Still Photographer;Camera and Electrical Department;Se7en;;nm0814809;Peter Sorel;A
DALE MYRAND;True;Steadicam Assistant;Camera and Electrical Department;Se7en;;nm0617089;Dale Myrand;A
DAVID EMMERICHS;True;Steadicam Operator;Camera and Electrical Department;Se7en;;nm0256499;David Emmerichs;A
"LISA ""COCONUT"" GUERRIERO";True;Second Assistant Camera;Camera and Electrical Department;Fight Club;;;"LISA ""COCONUT"" GUERRIERO";X
CHRIS HAARHOFF;True;Steadicam Operator;Camera and Electrical Department;Fight Club;;nm0351886;Chris Haarhoff;A
GARY KANNER;True;Camera Loader;Camera and Electrical Department;Fight Club;;nm1006020;Gary Kanner;A
CLAUDIO MIRANDA;True;Gaffer;Camera and Electrical Department;Fight Club;;nm0592073;Claudio Miranda;A
EDDY MALONEY;True;Best Boy Electric;Camera and Electrical Department;Fight Club;;nm0540548;Ed Maloney;M
MIKE ARVANITIS;True;Fox Best Boy Electric;Camera and Electrical Department;Fight Club;;nm0038070;Mike Arvanitas;M
