nome;is_person;role_detail;role_group;numero_episodio;dubbing_type
Eva López;TRUE;Escrito por;Composers;El desorden que dejas S01E03;
Bruno Mosquera;TRUE;Escrito por;Composers;El desorden que dejas S01E03;
Linda Guilaila;TRUE;Interpretado por;Composers;El desorden que dejas S01E03;
Elephant Records;FALSE;Cortesía de;Miscellaneous Companies;El desorden que dejas S01E03;
Alejandro López;TRUE;Escrito;Composers;El desorden que dejas S01E03;
Alejandro López;TRUE;Interpretado por;Composers;El desorden que dejas S01E03;
Alejandro López;TRUE;Cortesía de;Composers;El desorden que dejas S01E03;
BANALE;FALSE;Material de Producción;Miscellaneous Companies;El desorden que dejas S01E03;
VACA FILMS;FALSE;Material de Producción;Miscellaneous Companies;El desorden que dejas S01E03;
TOBOGGAN;FALSE;Cámara y Walkies;Miscellaneous Companies;El desorden que dejas S01E03;
BLUESCREEN;FALSE;Splashbag y Luz Subacuática;Miscellaneous Companies;El desorden que dejas S01E03;
SooS;FALSE;Maquinaria y Grúas;Miscellaneous Companies;El desorden que dejas S01E03;
FR SPORT;FALSE;Cámara Car;Miscellaneous Companies;El desorden que dejas S01E03;
GRIP CREW;FALSE;Grip;Miscellaneous Companies;El desorden que dejas S01E03;
OCTOCAMVISION;FALSE;Dron;Miscellaneous Companies;El desorden que dejas S01E03;
FILAMENTO;FALSE;Iluminación y Grupo Electrógeno;Miscellaneous Companies;El desorden que dejas S01E03;
CARAGER;FALSE;Grupo Electrógeno;Miscellaneous Companies;El desorden que dejas S01E03;
LA PANIFICADORA;FALSE;Material de Sonido;Miscellaneous Companies;El desorden que dejas S01E03;
IN EXTREMIS FILM SERVICES;FALSE;Material Efectos Especiales y Armería;Special Effects Companies;El desorden que dejas S01E03;
SERIFOR;FALSE;Material Efectos Especiales y Armería;Special Effects Companies;El desorden que dejas S01E03;
JESÚS LESTA;TRUE;Maestro Armero;Art Department;El desorden que dejas S01E03;
ESCENOSET;FALSE;Construcción;Miscellaneous Companies;El desorden que dejas S01E03;
GIG ELECTRIFICACIONES ESCENOGRÁFICAS;FALSE;Construcción;Miscellaneous Companies;El desorden que dejas S01E03;
JOSE FRANCISCO GUDGE (EL PINTOR DE LA CASA);TRUE;Construcción;Art Department;El desorden que dejas S01E03;
SUTEGA;FALSE;Impresiones Gráficas;Miscellaneous Companies;El desorden que dejas S01E03;
LÍNEA GRÁFICA;FALSE;Impresiones Gráficas;Miscellaneous Companies;El desorden que dejas S01E03;
MANEL DECORACIÓN;FALSE;Alquiler Mobiliario y Ambientación;Miscellaneous Companies;El desorden que dejas S01E03;
PALACIO DE CONGRESOS;FALSE;Alquiler Mobiliario y Ambientación;Miscellaneous Companies;El desorden que dejas S01E03;
SANTIAGO;FALSE;Alquiler Mobiliario y Ambientación;Miscellaneous Companies;El desorden que dejas S01E03;
ISADORA;FALSE;Alquiler Mobiliario y Ambientación;Miscellaneous Companies;El desorden que dejas S01E03;
STERIS IBERIA;FALSE;Alquiler Mobiliario y Ambientación;Miscellaneous Companies;El desorden que dejas S01E03;
EXPOCORUÑA;FALSE;Alquiler Mobiliario y Ambientación;Miscellaneous Companies;El desorden que dejas S01E03;
VIVEROS BRANDARIZ;FALSE;Alquiler Mobiliario y Ambientación;Miscellaneous Companies;El desorden que dejas S01E03;
MADRESELVA FLORES;FALSE;Alquiler Mobiliario y Ambientación;Miscellaneous Companies;El desorden que dejas S01E03;
ASOCIACIÓN RETO;FALSE;Alquiler Mobiliario y Ambientación;Miscellaneous Companies;El desorden que dejas S01E03;
