nome;is_person;role_detail;role_group;numero_episodio;normalized_name;normalized_name_with_nickname;imdb_nconst_88;nome_corretto_imdb_88;imdb_action_88;imdb_nconst_90;nome_corretto_imdb_90;imdb_action_90;imdb_nconst_92;nome_corretto_imdb_92;imdb_action_92;imdb_nconst_94;nome_corretto_imdb_94;imdb_action_94;imdb_nconst_96;nome_corretto_imdb_96;imdb_action_96;imdb_nconst_98;nome_corretto_imdb_98;imdb_action_98;imdb_nconst_99;nome_corretto_imdb_99;imdb_action_99;HUMAN nome imdb corretto;HUMAN codice imdb corretto
PAT FENNELL;TRUE;Camera Operator;Camera and Electrical Department;Hill Street Blues S01E13;pat fennell;;;PAT FENNELL;X;;PAT FENNELL;X;;PAT FENNELL;X;;PAT FENNELL;X;;PAT FENNELL;X;;PAT FENNELL;X;;PAT FENNELL;X;;
TOBIAS SEMMELMANN;TRUE;VIDEO OPERATOR;Camera and Electrical Department;Dark S01E09;tobias semmelmann;;nm2017672;Tobias Semmelmann;A;nm2017672;Tobias Semmelmann;A;nm2017672;Tobias Semmelmann;A;nm2017672;Tobias Semmelmann;A;nm2017672;Tobias Semmelmann;A;nm2017672;Tobias Semmelmann;A;nm2017672;Tobias Semmelmann;A;;
EARL LINDER;TRUE;Key Grip;Camera and Electrical Department;Hill Street Blues S01E13;earl linder;;nm0511700;Earl Linder;A;nm0511700;Earl Linder;A;nm0511700;Earl Linder;A;nm0511700;Earl Linder;A;nm0511700;Earl Linder;A;nm0511700;Earl Linder;A;nm0511700;Earl Linder;A;;
VALENTIN SCHWEIGER;TRUE;DAILY CAMERA ASSISTANTS;Camera and Electrical Department;Dark S01E09;valentin schweiger;;nm0777778;Valentin Schweiger;A;nm0777778;Valentin Schweiger;A;nm0777778;Valentin Schweiger;A;nm0777778;Valentin Schweiger;A;nm0777778;Valentin Schweiger;A;nm0777778;Valentin Schweiger;A;nm0777778;Valentin Schweiger;A;;
DAVE LEE;TRUE;Electrical Gaffer;Camera and Electrical Department;Hill Street Blues S01E13;dave lee;;;DAVE LEE;X;;DAVE LEE;X;;DAVE LEE;X;;DAVE LEE;X;;DAVE LEE;X;;DAVE LEE;X;;DAVE LEE;X;;
ANDREW M. COSTIKYAN;TRUE;Second Unit Photography;Camera and Electrical Department;Hill Street Blues S01E13;andrew m costikyan;;nm0182694;Andrew M. Costikyan;A;nm0182694;Andrew M. Costikyan;A;nm0182694;Andrew M. Costikyan;A;nm0182694;Andrew M. Costikyan;A;nm0182694;Andrew M. Costikyan;A;nm0182694;Andrew M. Costikyan;A;nm0182694;Andrew M. Costikyan;A;;
VICKY MÜLLER;TRUE;CAMERA TRAINEES;Camera and Electrical Department;Dark S01E09;vicky muller;;nm9234066;Vicky Müller;A;nm9234066;Vicky Müller;A;nm9234066;Vicky Müller;A;nm9234066;Vicky Müller;A;nm9234066;Vicky Müller;A;nm9234066;Vicky Müller;A;nm9234066;Vicky Müller;A;;
VOLKER LANGHOLZ;TRUE;DAILY ELECTRICIANS;Camera and Electrical Department;Dark S01E09;volker langholz;;nm1447114;Volker Langholz;A;nm1447114;Volker Langholz;A;nm1447114;Volker Langholz;A;nm1447114;Volker Langholz;A;nm1447114;Volker Langholz;A;nm1447114;Volker Langholz;A;nm1447114;Volker Langholz;A;;
Alessandro Brambilla;TRUE;Operatore Steadycam;Camera and Electrical Department;La grande bellezza;alessandro brambilla;;nm1055156;Alessandro Brambilla;A;nm1055156;Alessandro Brambilla;A;nm1055156;Alessandro Brambilla;A;nm1055156;Alessandro Brambilla;A;nm1055156;Alessandro Brambilla;A;nm1055156;Alessandro Brambilla;A;nm1055156;Alessandro Brambilla;A;;
RALF PROKOPP;TRUE;DAILY ELECTRICIANS;Camera and Electrical Department;Dark S01E09;ralf prokopp;;nm0698619;Ralf Prokopp;A;nm0698619;Ralf Prokopp;A;nm0698619;Ralf Prokopp;A;nm0698619;Ralf Prokopp;A;nm0698619;Ralf Prokopp;A;nm0698619;Ralf Prokopp;A;nm0698619;Ralf Prokopp;A;;
Daniele Anzellotti;TRUE;Macchinisti;Camera and Electrical Department;La grande bellezza;daniele anzellotti;;nm2047752;Daniele Anzellotti;A;nm2047752;Daniele Anzellotti;A;nm2047752;Daniele Anzellotti;A;nm2047752;Daniele Anzellotti;A;nm2047752;Daniele Anzellotti;A;nm2047752;Daniele Anzellotti;A;nm2047752;Daniele Anzellotti;A;;
PHILIPP RATH;TRUE;BEST BOY GRIP;Camera and Electrical Department;Dark S01E09;philipp rath;;nm4480965;Philipp Rath;A;nm4480965;Philipp Rath;A;nm4480965;Philipp Rath;A;nm4480965;Philipp Rath;A;nm4480965;Philipp Rath;A;nm4480965;Philipp Rath;A;nm4480965;Philipp Rath;A;;
Massimo Barbona;TRUE;Macchinisti;Camera and Electrical Department;La grande bellezza;massimo barbona;;nm0053710;Massimo Barbona;A;nm0053710;Massimo Barbona;A;nm0053710;Massimo Barbona;A;nm0053710;Massimo Barbona;A;nm0053710;Massimo Barbona;A;nm0053710;Massimo Barbona;A;nm0053710;Massimo Barbona;A;;
Marco Maggi;TRUE;Assistenti operatore aggiunti;Camera and Electrical Department;La grande bellezza;marco maggi;;nm2586260;Marco Maggi;A;nm2586260;Marco Maggi;A;nm2586260;Marco Maggi;A;nm2586260;Marco Maggi;A;nm2586260;Marco Maggi;A;nm2586260;Marco Maggi;A;nm2586260;Marco Maggi;A;;
Marco Francescon;TRUE;Gruppista;Camera and Electrical Department;La grande bellezza;marco francescon;;nm0289923;Marco Francescon;A;nm0289923;Marco Francescon;A;nm0289923;Marco Francescon;A;nm0289923;Marco Francescon;A;nm0289923;Marco Francescon;A;nm0289923;Marco Francescon;A;nm0289923;Marco Francescon;A;;
Luan Amelio;TRUE;Aiuti operatore;Camera and Electrical Department;La grande bellezza;luan amelio;;nm0880300;Luan Amelio;A;nm0880300;Luan Amelio;A;nm0880300;Luan Amelio;A;nm0880300;Luan Amelio;A;nm0880300;Luan Amelio;A;nm0880300;Luan Amelio;A;nm0880300;Luan Amelio;A;;
Guido Mestre;TRUE;Macchinisti;Camera and Electrical Department;La grande bellezza;guido mestre;;nm2106957;Guido Mestre;A;nm2106957;Guido Mestre;A;nm2106957;Guido Mestre;A;nm2106957;Guido Mestre;A;nm2106957;Guido Mestre;A;nm2106957;Guido Mestre;A;nm2106957;Guido Mestre;A;;
Gianni Fiorito;TRUE;Fotografo di scena;Camera and Electrical Department;La grande bellezza;gianni fiorito;;nm2992820;Gianni Fiorito;A;nm2992820;Gianni Fiorito;A;nm2992820;Gianni Fiorito;A;nm2992820;Gianni Fiorito;A;nm2992820;Gianni Fiorito;A;nm2992820;Gianni Fiorito;A;nm2992820;Gianni Fiorito;A;;
Francesco Galli;TRUE;Elettricisti;Camera and Electrical Department;La grande bellezza;francesco galli;;;Francesco Galli;X;;Francesco Galli;X;;Francesco Galli;X;;Francesco Galli;X;;Francesco Galli;X;;Francesco Galli;X;;Francesco Galli;X;;
OLAF RICHTER;TRUE;DAILY ELECTRICIANS;Camera and Electrical Department;Dark S01E09;olaf richter;;nm0725326;Olaf Richter;A;nm0725326;Olaf Richter;A;nm0725326;Olaf Richter;A;nm0725326;Olaf Richter;A;nm0725326;Olaf Richter;A;nm0725326;Olaf Richter;A;nm0725326;Olaf Richter;A;;
Fabio Rovoletto;TRUE;Elettricisti;Camera and Electrical Department;La grande bellezza;fabio rovoletto;;nm4208395;Fabio Rovoletto;A;nm4208395;Fabio Rovoletto;A;nm4208395;Fabio Rovoletto;A;nm4208395;Fabio Rovoletto;A;nm4208395;Fabio Rovoletto;A;nm4208395;Fabio Rovoletto;A;nm4208395;Fabio Rovoletto;A;;
OLIVER JOEST;TRUE;2ND UNIT ELECTRICIANS;Camera and Electrical Department;Dark S01E09;oliver joest;;nm4844277;Oliver Joest;A;nm4844277;Oliver Joest;A;nm4844277;Oliver Joest;A;nm4844277;Oliver Joest;A;nm4844277;Oliver Joest;A;nm4844277;Oliver Joest;A;nm4844277;Oliver Joest;A;;
OLIVER KÜHNE;TRUE;ELECTRICIANS;Camera and Electrical Department;Dark S01E09;oliver kuhne;;nm0478156;Oliver Kühne;A;nm0478156;Oliver Kühne;A;nm0478156;Oliver Kühne;A;nm0478156;Oliver Kühne;A;nm0478156;Oliver Kühne;A;nm0478156;Oliver Kühne;A;nm0478156;Oliver Kühne;A;;
PATRICK GOETZ;TRUE;2ND UNIT 1ST ASSISTANTS CAMERA;Camera and Electrical Department;Dark S01E09;patrick goetz;;nm2893247;Patrick Goetz;A;nm2893247;Patrick Goetz;A;nm2893247;Patrick Goetz;A;nm2893247;Patrick Goetz;A;nm2893247;Patrick Goetz;A;nm2893247;Patrick Goetz;A;nm2893247;Patrick Goetz;A;;
PATRICK WÄCHTER;TRUE;2ND UNIT ELECTRICIANS;Camera and Electrical Department;Dark S01E09;patrick wachter;;nm1124608;Patrick Wächter;A;nm1124608;Patrick Wächter;A;nm1124608;Patrick Wächter;A;nm1124608;Patrick Wächter;A;nm1124608;Patrick Wächter;A;nm1124608;Patrick Wächter;A;nm1124608;Patrick Wächter;A;;
Fabio Policastro;TRUE;Elettricisti;Camera and Electrical Department;La grande bellezza;fabio policastro;;nm1774786;Fabio Policastro;A;nm1774786;Fabio Policastro;A;nm1774786;Fabio Policastro;A;nm1774786;Fabio Policastro;A;nm1774786;Fabio Policastro;A;nm1774786;Fabio Policastro;A;nm1774786;Fabio Policastro;A;;
PETER FRITSCHER;TRUE;2ND UNIT GAFFERS;Camera and Electrical Department;Dark S01E09;peter fritscher;;nm0469722;Peter Fritscher;A;nm0469722;Peter Fritscher;A;nm0469722;Peter Fritscher;A;nm0469722;Peter Fritscher;A;nm0469722;Peter Fritscher;A;nm0469722;Peter Fritscher;A;nm0469722;Peter Fritscher;A;;
Emiliano Mambusi;TRUE;Aiuti operatori subacquei;Camera and Electrical Department;La grande bellezza;emiliano mambusi;;nm6040665;Emiliano Mambasi;M;nm6040665;Emiliano Mambasi;M;nm6040665;Emiliano Mambasi;M;nm6040665;Emiliano Mambasi;M;;Emiliano Mambusi;X;;Emiliano Mambusi;X;;Emiliano Mambusi;X;;
Elisabetta Di Salvo;TRUE;Video Assist;Camera and Electrical Department;La grande bellezza;elisabetta di salvo;;nm4290751;Elisabetta Di Salvo;A;nm4290751;Elisabetta Di Salvo;A;nm4290751;Elisabetta Di Salvo;A;nm4290751;Elisabetta Di Salvo;A;nm4290751;Elisabetta Di Salvo;A;nm4290751;Elisabetta Di Salvo;A;nm4290751;Elisabetta Di Salvo;A;;
Daria D'Antonio;TRUE;Operatore II macchina-Fotografia II unità;Camera and Electrical Department;La grande bellezza;daria d antonio;;nm1065020;Daria D'Antonio;A;nm1065020;Daria D'Antonio;A;nm1065020;Daria D'Antonio;A;nm1065020;Daria D'Antonio;A;nm1065020;Daria D'Antonio;A;nm1065020;Daria D'Antonio;A;nm1065020;Daria D'Antonio;A;;
PETJA GOHR;TRUE;DAILY ELECTRICIANS;Camera and Electrical Department;Dark S01E09;petja gohr;;nm2469618;Petja Gohr;A;nm2469618;Petja Gohr;A;nm2469618;Petja Gohr;A;nm2469618;Petja Gohr;A;nm2469618;Petja Gohr;A;nm2469618;Petja Gohr;A;nm2469618;Petja Gohr;A;;
Danilo Marcelli;TRUE;Macchinisti;Camera and Electrical Department;La grande bellezza;danilo marcelli;;nm2980292;Danilo Marcelli;A;nm2980292;Danilo Marcelli;A;nm2980292;Danilo Marcelli;A;nm2980292;Danilo Marcelli;A;nm2980292;Danilo Marcelli;A;nm2980292;Danilo Marcelli;A;nm2980292;Danilo Marcelli;A;;
PHILIPP HOCH;TRUE;2ND UNIT 2ND ASSISTANTS CAMERA;Camera and Electrical Department;Dark S01E09;philipp hoch;;nm6308399;Philipp Hoch;A;nm6308399;Philipp Hoch;A;nm6308399;Philipp Hoch;A;nm6308399;Philipp Hoch;A;nm6308399;Philipp Hoch;A;nm6308399;Philipp Hoch;A;nm6308399;Philipp Hoch;A;;
MILIAN SYMANEK;TRUE;DIT / CAMERA ASSISTANT;Camera and Electrical Department;Dark S01E09;milian symanek;;;MILIAN SYMANEK;X;;MILIAN SYMANEK;X;;MILIAN SYMANEK;X;;MILIAN SYMANEK;X;;MILIAN SYMANEK;X;;MILIAN SYMANEK;X;;MILIAN SYMANEK;X;;
CHRISTIAN PELLVING;TRUE;Drone Operators;Camera and Electrical Department;Chernobyl S01E01;christian pellving;;nm10718112;Christian Pellving;A;nm10718112;Christian Pellving;A;nm10718112;Christian Pellving;A;nm10718112;Christian Pellving;A;nm10718112;Christian Pellving;A;nm10718112;Christian Pellving;A;nm10718112;Christian Pellving;A;;
LAMONT CRAWFORD;TRUE;dolly grip;Camera and Electrical Department;Eternal Sunshine of the Spotless Mind;lamont crawford;;nm0186867;Lamont Crawford;A;nm0186867;Lamont Crawford;A;nm0186867;Lamont Crawford;A;nm0186867;Lamont Crawford;A;nm0186867;Lamont Crawford;A;nm0186867;Lamont Crawford;A;nm0186867;Lamont Crawford;A;;
ANDREY SHILOV;TRUE;2nd Assistant Camera;Camera and Electrical Department;Chernobyl S01E01;andrey shilov;;nm10987519;Andrey Shlov;M;nm10987519;Andrey Shlov;M;nm10987519;Andrey Shlov;M;nm10987519;Andrey Shlov;M;nm10987519;Andrey Shlov;M;;ANDREY SHILOV;X;;ANDREY SHILOV;X;;
Béatrice Mizrahi;TRUE;Renforts;Camera and Electrical Department;Amelie;beatrice mizrahi;;nm0594609;Beatrice Mizrahi;A;nm0594609;Beatrice Mizrahi;A;nm0594609;Beatrice Mizrahi;A;nm0594609;Beatrice Mizrahi;A;nm0594609;Beatrice Mizrahi;A;nm0594609;Beatrice Mizrahi;A;nm0594609;Beatrice Mizrahi;A;;
ANTS MARTIN VAHUR;TRUE;A Camera/Steadicam Operator;Camera and Electrical Department;Chernobyl S01E01;ants martin vahur;;nm1869806;Ants Martin Vahur;A;nm1869806;Ants Martin Vahur;A;nm1869806;Ants Martin Vahur;A;nm1869806;Ants Martin Vahur;A;nm1869806;Ants Martin Vahur;A;nm1869806;Ants Martin Vahur;A;nm1869806;Ants Martin Vahur;A;;
PASQUALE DE SANTIS;TRUE;OPERATORE;Camera and Electrical Department;8 1-2;pasquale de santis;;nm0005681;Pasqualino De Santis;M;;PASQUALE DE SANTIS;X;;PASQUALE DE SANTIS;X;;PASQUALE DE SANTIS;X;;PASQUALE DE SANTIS;X;;PASQUALE DE SANTIS;X;;PASQUALE DE SANTIS;X;;
ALFREDO MARCHETTI;TRUE;Key Grip;Camera and Electrical Department;Apocalypse Now;alfredo marchetti;;nm0545558;Alfredo Marchetti;A;nm0545558;Alfredo Marchetti;A;nm0545558;Alfredo Marchetti;A;nm0545558;Alfredo Marchetti;A;nm0545558;Alfredo Marchetti;A;nm0545558;Alfredo Marchetti;A;nm0545558;Alfredo Marchetti;A;;
ALEKSANDR PETROVSKIJ;TRUE;2nd Assistant Camera: B Camera;Camera and Electrical Department;Chernobyl S01E01;aleksandr petrovskij;;nm7057679;Aleksandr Petrovskij;A;nm7057679;Aleksandr Petrovskij;A;nm7057679;Aleksandr Petrovskij;A;nm7057679;Aleksandr Petrovskij;A;nm7057679;Aleksandr Petrovskij;A;nm7057679;Aleksandr Petrovskij;A;nm7057679;Aleksandr Petrovskij;A;;
LUCIANO GALLI;TRUE;Gaffer;Camera and Electrical Department;Apocalypse Now;luciano galli;;nm0302861;Luciano Galli;A;nm0302861;Luciano Galli;A;nm0302861;Luciano Galli;A;nm0302861;Luciano Galli;A;nm0302861;Luciano Galli;A;nm0302861;Luciano Galli;A;nm0302861;Luciano Galli;A;;
Stefan De Leuw;TRUE;Assistants caméra;Camera and Electrical Department;Amelie;stefan de leuw;;nm1222150;Stefan de Leuw;A;nm1222150;Stefan de Leuw;A;nm1222150;Stefan de Leuw;A;nm1222150;Stefan de Leuw;A;nm1222150;Stefan de Leuw;A;nm1222150;Stefan de Leuw;A;nm1222150;Stefan de Leuw;A;;
PIERO SERVO;TRUE;2nd Unit Cameraman;Camera and Electrical Department;Apocalypse Now;piero servo;;nm0785860;Piero Servo;A;nm0785860;Piero Servo;A;nm0785860;Piero Servo;A;nm0785860;Piero Servo;A;nm0785860;Piero Servo;A;nm0785860;Piero Servo;A;nm0785860;Piero Servo;A;;
ALEKSANDR BUDARIN;TRUE;1st Assistant Camera/Focus Puller;Camera and Electrical Department;Chernobyl S01E01;aleksandr budarin;;;ALEKSANDR BUDARIN;X;;ALEKSANDR BUDARIN;X;;ALEKSANDR BUDARIN;X;;ALEKSANDR BUDARIN;X;;ALEKSANDR BUDARIN;X;;ALEKSANDR BUDARIN;X;;ALEKSANDR BUDARIN;X;;
ALEKSANDER VERMUL;TRUE;Video Assistant;Camera and Electrical Department;Chernobyl S01E01;aleksander vermul;;nm10987518;Alexander Vermul;M;nm10987518;Alexander Vermul;M;;ALEKSANDER VERMUL;X;;ALEKSANDER VERMUL;X;;ALEKSANDER VERMUL;X;;ALEKSANDER VERMUL;X;;ALEKSANDER VERMUL;X;;
JOSH WEINER;TRUE;Still Photographers;Camera and Electrical Department;Apocalypse Now;josh weiner;;;JOSH WEINER;X;;JOSH WEINER;X;;JOSH WEINER;X;;JOSH WEINER;X;;JOSH WEINER;X;;JOSH WEINER;X;;JOSH WEINER;X;;
AUDRIUS BUDRYS;TRUE;Additional Camera Operators;Camera and Electrical Department;Chernobyl S01E01;audrius budrys;;nm2913712;Audrius Budrys;A;nm2913712;Audrius Budrys;A;nm2913712;Audrius Budrys;A;nm2913712;Audrius Budrys;A;nm2913712;Audrius Budrys;A;nm2913712;Audrius Budrys;A;nm2913712;Audrius Budrys;A;;
Ludovic Simeon;TRUE;Assistant vidéo;Camera and Electrical Department;Amelie;ludovic simeon;;;Ludovic Simeon;X;;Ludovic Simeon;X;;Ludovic Simeon;X;;Ludovic Simeon;X;;Ludovic Simeon;X;;Ludovic Simeon;X;;Ludovic Simeon;X;;
Timo Von Burgsdorf;TRUE;Électriciens;Camera and Electrical Department;Amelie;timo von burgsdorf;;nm1222178;Timo von Burgsdorf;A;nm1222178;Timo von Burgsdorf;A;nm1222178;Timo von Burgsdorf;A;nm1222178;Timo von Burgsdorf;A;nm1222178;Timo von Burgsdorf;A;nm1222178;Timo von Burgsdorf;A;nm1222178;Timo von Burgsdorf;A;;
Tim Liehr;TRUE;Machinistes;Camera and Electrical Department;Amelie;tim liehr;;nm1638922;Tim Liehr;A;nm1638922;Tim Liehr;A;nm1638922;Tim Liehr;A;nm1638922;Tim Liehr;A;nm1638922;Tim Liehr;A;nm1638922;Tim Liehr;A;nm1638922;Tim Liehr;A;;
Michel Sabourdy;TRUE;Chefs électriciens;Camera and Electrical Department;Amelie;michel sabourdy;;nm0754876;Michel Sabourdy;A;nm0754876;Michel Sabourdy;A;nm0754876;Michel Sabourdy;A;nm0754876;Michel Sabourdy;A;nm0754876;Michel Sabourdy;A;nm0754876;Michel Sabourdy;A;nm0754876;Michel Sabourdy;A;;
Laurent Thiery;TRUE;Machinistes;Camera and Electrical Department;Amelie;laurent thiery;;nm1221942;Laurent Thiery;A;nm1221942;Laurent Thiery;A;nm1221942;Laurent Thiery;A;nm1221942;Laurent Thiery;A;nm1221942;Laurent Thiery;A;nm1221942;Laurent Thiery;A;nm1221942;Laurent Thiery;A;;
Dominique Colin;TRUE;Cameraman manivelle;Camera and Electrical Department;Amelie;dominique colin;;;Dominique Colin;X;;Dominique Colin;X;;Dominique Colin;X;;Dominique Colin;X;;Dominique Colin;X;;Dominique Colin;X;;Dominique Colin;X;;
Georgi Lazarevsky;TRUE;Assistée de;Camera and Electrical Department;Amelie;georgi lazarevsky;;nm1030794;Georgi Lazarevski;M;nm1030794;Georgi Lazarevski;M;nm1030794;Georgi Lazarevski;M;nm1030794;Georgi Lazarevski;M;;Georgi Lazarevsky;X;;Georgi Lazarevsky;X;;Georgi Lazarevsky;X;;
ANDREW GOROVOY;TRUE;2nd Chief Electrician;Camera and Electrical Department;Chernobyl S01E01;andrew gorovoy;;nm6025055;Andrew Gorovyi;M;nm6025055;Andrew Gorovyi;M;nm6025055;Andrew Gorovyi;M;;ANDREW GOROVOY;X;;ANDREW GOROVOY;X;;ANDREW GOROVOY;X;;ANDREW GOROVOY;X;;
Vlasta Kostic;TRUE;Électriciens;Camera and Electrical Department;Amelie;vlasta kostic;;nm1221083;Vlasta Kostic;A;nm1221083;Vlasta Kostic;A;nm1221083;Vlasta Kostic;A;nm1221083;Vlasta Kostic;A;nm1221083;Vlasta Kostic;A;nm1221083;Vlasta Kostic;A;nm1221083;Vlasta Kostic;A;;
Christophe Perotin;TRUE;2e assistant;Camera and Electrical Department;Amelie;christophe perotin;;nm1057536;Christophe Perotin;A;nm1057536;Christophe Perotin;A;nm1057536;Christophe Perotin;A;nm1057536;Christophe Perotin;A;nm1057536;Christophe Perotin;A;nm1057536;Christophe Perotin;A;nm1057536;Christophe Perotin;A;;
Yves Kohen;TRUE;Électriciens;Camera and Electrical Department;Amelie;yves kohen;;nm0463196;Yves Kohen;A;nm0463196;Yves Kohen;A;nm0463196;Yves Kohen;A;nm0463196;Yves Kohen;A;nm0463196;Yves Kohen;A;nm0463196;Yves Kohen;A;nm0463196;Yves Kohen;A;;
ANDRIUS KVATAVICIUS;TRUE;Dressing Electricians;Camera and Electrical Department;Chernobyl S01E01;andrius kvatavicius;;;ANDRIUS KVATAVICIUS;X;;ANDRIUS KVATAVICIUS;X;;ANDRIUS KVATAVICIUS;X;;ANDRIUS KVATAVICIUS;X;;ANDRIUS KVATAVICIUS;X;;ANDRIUS KVATAVICIUS;X;;ANDRIUS KVATAVICIUS;X;;
ENRICO UMETELLI;TRUE;Camera Operator;Camera and Electrical Department;Apocalypse Now;enrico umetelli;;nm0880866;Enrico Umetelli;A;nm0880866;Enrico Umetelli;A;nm0880866;Enrico Umetelli;A;nm0880866;Enrico Umetelli;A;nm0880866;Enrico Umetelli;A;nm0880866;Enrico Umetelli;A;nm0880866;Enrico Umetelli;A;;
Yves Quehec;TRUE;Électriciens;Camera and Electrical Department;Amelie;yves quehec;;;Yves Quehec;X;;Yves Quehec;X;;Yves Quehec;X;;Yves Quehec;X;;Yves Quehec;X;;Yves Quehec;X;;Yves Quehec;X;;
Olivier Cazzitti;TRUE;Électriciens;Camera and Electrical Department;Amelie;olivier cazzitti;;nm1220437;Olivier Cazzitti;A;nm1220437;Olivier Cazzitti;A;nm1220437;Olivier Cazzitti;A;nm1220437;Olivier Cazzitti;A;nm1220437;Olivier Cazzitti;A;nm1220437;Olivier Cazzitti;A;nm1220437;Olivier Cazzitti;A;;
Sandra Oumar;TRUE;Assistants caméra;Camera and Electrical Department;Amelie;sandra oumar;;nm0653591;Sandra Oumar;A;nm0653591;Sandra Oumar;A;nm0653591;Sandra Oumar;A;nm0653591;Sandra Oumar;A;nm0653591;Sandra Oumar;A;nm0653591;Sandra Oumar;A;nm0653591;Sandra Oumar;A;;
DAVID NOWELL;TRUE;Assistant Cameramen;Camera and Electrical Department;Apocalypse Now;david nowell;;;DAVID NOWELL;X;;DAVID NOWELL;X;;DAVID NOWELL;X;;DAVID NOWELL;X;;DAVID NOWELL;X;;DAVID NOWELL;X;;DAVID NOWELL;X;;
Jorg Widmer;TRUE;Renfort;Camera and Electrical Department;Amelie;jorg widmer;;nm0002152;Jörg Widmer;A;nm0002152;Jörg Widmer;A;nm0002152;Jörg Widmer;A;nm0002152;Jörg Widmer;A;nm0002152;Jörg Widmer;A;nm0002152;Jörg Widmer;A;nm0002152;Jörg Widmer;A;;
Bruno Dubet;TRUE;Chef machiniste;Camera and Electrical Department;Amelie;bruno dubet;;nm0239264;Bruno Dubet;A;nm0239264;Bruno Dubet;A;nm0239264;Bruno Dubet;A;nm0239264;Bruno Dubet;A;nm0239264;Bruno Dubet;A;nm0239264;Bruno Dubet;A;nm0239264;Bruno Dubet;A;;
DAVID BUTLER;TRUE;Aerial Cameraman;Camera and Electrical Department;Apocalypse Now;david butler;;;DAVID BUTLER;X;;DAVID BUTLER;X;;DAVID BUTLER;X;;DAVID BUTLER;X;;DAVID BUTLER;X;;DAVID BUTLER;X;;DAVID BUTLER;X;;
Bruno Calvo;TRUE;Photographe de plateau;Camera and Electrical Department;Amelie;bruno calvo;;nm0130925;Bruno Calvo;A;nm0130925;Bruno Calvo;A;nm0130925;Bruno Calvo;A;nm0130925;Bruno Calvo;A;nm0130925;Bruno Calvo;A;nm0130925;Bruno Calvo;A;nm0130925;Bruno Calvo;A;;
Dominique Lepage;TRUE;Machinistes;Camera and Electrical Department;Amelie;dominique lepage;;nm1221149;Dominique Lepage;A;nm1221149;Dominique Lepage;A;nm1221149;Dominique Lepage;A;nm1221149;Dominique Lepage;A;nm1221149;Dominique Lepage;A;nm1221149;Dominique Lepage;A;nm1221149;Dominique Lepage;A;;
Jean-Christophe Duwez;TRUE;Électriciens;Camera and Electrical Department;Amelie;jean christophe duwez;;nm1158844;Jean-Christophe Duwez;A;nm1158844;Jean-Christophe Duwez;A;nm1158844;Jean-Christophe Duwez;A;nm1158844;Jean-Christophe Duwez;A;nm1158844;Jean-Christophe Duwez;A;nm1158844;Jean-Christophe Duwez;A;nm1158844;Jean-Christophe Duwez;A;;
MAURO MARCHETTI;TRUE;Camera Assistants;Camera and Electrical Department;Apocalypse Now;mauro marchetti;;;MAURO MARCHETTI;X;;MAURO MARCHETTI;X;;MAURO MARCHETTI;X;;MAURO MARCHETTI;X;;MAURO MARCHETTI;X;;MAURO MARCHETTI;X;;MAURO MARCHETTI;X;;
François Paumard;TRUE;Photographe;Camera and Electrical Department;Amelie;francois paumard;;nm0667427;François Paumard;A;nm0667427;François Paumard;A;nm0667427;François Paumard;A;nm0667427;François Paumard;A;nm0667427;François Paumard;A;nm0667427;François Paumard;A;nm0667427;François Paumard;A;;
HIRO NARITA;TRUE;Insert Camera Operator;Camera and Electrical Department;Apocalypse Now;hiro narita;;nm0005812;Hiro Narita;A;nm0005812;Hiro Narita;A;nm0005812;Hiro Narita;A;nm0005812;Hiro Narita;A;nm0005812;Hiro Narita;A;nm0005812;Hiro Narita;A;nm0005812;Hiro Narita;A;;
Robert Dona;TRUE;Machinistes;Camera and Electrical Department;Amelie;robert dona;;nm0231861;Robert Dona;A;nm0231861;Robert Dona;A;nm0231861;Robert Dona;A;nm0231861;Robert Dona;A;nm0231861;Robert Dona;A;nm0231861;Robert Dona;A;nm0231861;Robert Dona;A;;
ROGILIO De La RAMA;TRUE;Camera Assistants;Camera and Electrical Department;Apocalypse Now;rogilio de la rama;;nm0209362;Rogilio De La Rama;A;nm0209362;Rogilio De La Rama;A;nm0209362;Rogilio De La Rama;A;nm0209362;Rogilio De La Rama;A;nm0209362;Rogilio De La Rama;A;nm0209362;Rogilio De La Rama;A;nm0209362;Rogilio De La Rama;A;;
Marc Von Kuk;TRUE;Électriciens;Camera and Electrical Department;Amelie;marc von kuk;;nm1992359;Marc Von Kuk;A;nm1992359;Marc Von Kuk;A;nm1992359;Marc Von Kuk;A;nm1992359;Marc Von Kuk;A;nm1992359;Marc Von Kuk;A;nm1992359;Marc Von Kuk;A;nm1992359;Marc Von Kuk;A;;
GIUSEPPE ALBERTI;TRUE;Camera Assistants;Camera and Electrical Department;Apocalypse Now;giuseppe alberti;;nm0016644;Giuseppe Alberti;A;nm0016644;Giuseppe Alberti;A;nm0016644;Giuseppe Alberti;A;nm0016644;Giuseppe Alberti;A;nm0016644;Giuseppe Alberti;A;nm0016644;Giuseppe Alberti;A;nm0016644;Giuseppe Alberti;A;;
