nome;is_person;role_detail;role_group;numero_episodio;normalized_name;normalized_name_with_nickname;imdb_nconst_88;nome_corretto_imdb_88;imdb_action_88;imdb_nconst_90;nome_corretto_imdb_90;imdb_action_90;imdb_nconst_92;nome_corretto_imdb_92;imdb_action_92;imdb_nconst_94;nome_corretto_imdb_94;imdb_action_94;imdb_nconst_96;nome_corretto_imdb_96;imdb_action_96;imdb_nconst_98;nome_corretto_imdb_98;imdb_action_98;imdb_nconst_99;nome_corretto_imdb_99;imdb_action_99;HUMAN nome imdb corretto;HUMAN codice imdb corretto
MICHAEL MAROUSSAS;TRUE;Dialogue Editor;Sound Department;Chernobyl S01E01;michael maroussas;;nm1346816;Michael Maroussas;A;nm1346816;Michael Maroussas;A;nm1346816;Michael Maroussas;A;nm1346816;Michael Maroussas;A;nm1346816;Michael Maroussas;A;nm1346816;Michael Maroussas;A;nm1346816;Michael Maroussas;A;;
Dominique DELGUSTE;TRUE;Monteur son;Sound Department;Maigret S03E01;dominique delguste;;nm0217109;Dominique Delguste;A;nm0217109;Dominique Delguste;A;nm0217109;Dominique Delguste;A;nm0217109;Dominique Delguste;A;nm0217109;Dominique Delguste;A;nm0217109;Dominique Delguste;A;nm0217109;Dominique Delguste;A;;
PHILIP STOCKTON;TRUE;supervising sound editor;Sound Department;Eternal Sunshine of the Spotless Mind;philip stockton;;nm0830957;Philip Stockton;A;nm0830957;Philip Stockton;A;nm0830957;Philip Stockton;A;nm0830957;Philip Stockton;A;nm0830957;Philip Stockton;A;nm0830957;Philip Stockton;A;nm0830957;Philip Stockton;A;;
VINCENT ARNARDI;TRUE;Mixage;Sound Department;Amelie;vincent arnardi;;nm0003399;Vincent Arnardi;A;nm0003399;Vincent Arnardi;A;nm0003399;Vincent Arnardi;A;nm0003399;Vincent Arnardi;A;nm0003399;Vincent Arnardi;A;nm0003399;Vincent Arnardi;A;nm0003399;Vincent Arnardi;A;;
HILDA HODGES;TRUE;Foley Artists;Sound Department;Fight Club;hilda hodges;;nm0388164;Hilda Hodges;A;nm0388164;Hilda Hodges;A;nm0388164;Hilda Hodges;A;nm0388164;Hilda Hodges;A;nm0388164;Hilda Hodges;A;nm0388164;Hilda Hodges;A;nm0388164;Hilda Hodges;A;;
ACHIM HOFMANN;TRUE;SOUND EDITORS;Sound Department;Dark S01E09;achim hofmann;;nm4005529;Achim Hofmann;A;nm4005529;Achim Hofmann;A;nm4005529;Achim Hofmann;A;nm4005529;Achim Hofmann;A;nm4005529;Achim Hofmann;A;nm4005529;Achim Hofmann;A;nm4005529;Achim Hofmann;A;;
Alexandre Widmer;TRUE;Monteur dialogues;Sound Department;Amelie;alexandre widmer;;nm0927153;Alexandre Widmer;A;nm0927153;Alexandre Widmer;A;nm0927153;Alexandre Widmer;A;nm0927153;Alexandre Widmer;A;nm0927153;Alexandre Widmer;A;nm0927153;Alexandre Widmer;A;nm0927153;Alexandre Widmer;A;;
VYTAUTAS KIZALA;TRUE;Sound Recordists;Sound Department;Chernobyl S01E01;vytautas kizala;;nm2950549;Vytautas Kizala;A;nm2950549;Vytautas Kizala;A;nm2950549;Vytautas Kizala;A;nm2950549;Vytautas Kizala;A;nm2950549;Vytautas Kizala;A;nm2950549;Vytautas Kizala;A;nm2950549;Vytautas Kizala;A;;
PAUL URMSON;TRUE;effects editor;Sound Department;Eternal Sunshine of the Spotless Mind;paul urmson;;nm0882012;Paul Urmson;A;nm0882012;Paul Urmson;A;nm0882012;Paul Urmson;A;nm0882012;Paul Urmson;A;nm0882012;Paul Urmson;A;nm0882012;Paul Urmson;A;nm0882012;Paul Urmson;A;;
FRED ROSENBERG;TRUE;dialogue editor;Sound Department;Eternal Sunshine of the Spotless Mind;fred rosenberg;;nm0742213;Fred Rosenberg;A;nm0742213;Fred Rosenberg;A;nm0742213;Fred Rosenberg;A;nm0742213;Fred Rosenberg;A;nm0742213;Fred Rosenberg;A;nm0742213;Fred Rosenberg;A;nm0742213;Fred Rosenberg;A;;
FRANK KERN;TRUE;supervising foley editor;Sound Department;Eternal Sunshine of the Spotless Mind;frank ke;;nm0449450;Frank Kern;A;nm0449450;Frank Kern;A;nm0449450;Frank Kern;A;nm0449450;Frank Kern;A;nm0449450;Frank Kern;A;nm0449450;Frank Kern;A;nm0449450;Frank Kern;A;;
Stéphane de Rocquigny;TRUE;Assistants;Sound Department;Amelie;stephane de rocquigny;;nm1014076;Stéphane de Rocquigny;A;nm1014076;Stéphane de Rocquigny;A;nm1014076;Stéphane de Rocquigny;A;nm1014076;Stéphane de Rocquigny;A;nm1014076;Stéphane de Rocquigny;A;nm1014076;Stéphane de Rocquigny;A;nm1014076;Stéphane de Rocquigny;A;;
NANCY JENCKS;TRUE;Assistant SFX Editors;Sound Department;Se7en;nancy jencks;;nm0420691;Nancy Jencks;A;nm0420691;Nancy Jencks;A;nm0420691;Nancy Jencks;A;nm0420691;Nancy Jencks;A;nm0420691;Nancy Jencks;A;nm0420691;Nancy Jencks;A;nm0420691;Nancy Jencks;A;;
Marilena Cavola Hardy;TRUE;Assistante monteur son;Sound Department;Amelie;marilena cavola hardy;;nm5420898;Mariléna Cassola Hardy;M;nm5420898;Mariléna Cassola Hardy;M;nm5420898;Mariléna Cassola Hardy;M;;Marilena Cavola Hardy;X;;Marilena Cavola Hardy;X;;Marilena Cavola Hardy;X;;Marilena Cavola Hardy;X;Marilena Cavola;nm0147183
Michel Filippi;TRUE;Post-synchro;Sound Department;Amelie;michel filippi;;nm0277094;Michel Filippi;A;nm0277094;Michel Filippi;A;nm0277094;Michel Filippi;A;nm0277094;Michel Filippi;A;nm0277094;Michel Filippi;A;nm0277094;Michel Filippi;A;nm0277094;Michel Filippi;A;;
REILLY STEELE;TRUE;re-recording mixer;Sound Department;Eternal Sunshine of the Spotless Mind;reilly steele;;nm0824455;Reilly Steele;A;nm0824455;Reilly Steele;A;nm0824455;Reilly Steele;A;nm0824455;Reilly Steele;A;nm0824455;Reilly Steele;A;nm0824455;Reilly Steele;A;nm0824455;Reilly Steele;A;;
Francesco Sabez;TRUE;Microfonisti;Sound Department;La grande bellezza;francesco sabez;;nm2119458;Francesco Sabez;A;nm2119458;Francesco Sabez;A;nm2119458;Francesco Sabez;A;nm2119458;Francesco Sabez;A;nm2119458;Francesco Sabez;A;nm2119458;Francesco Sabez;A;nm2119458;Francesco Sabez;A;;
TIM HOLLAND;TRUE;Assistant Sound Editors;Sound Department;Apocalypse Now;tim holland;;;TIM HOLLAND;X;;TIM HOLLAND;X;;TIM HOLLAND;X;;TIM HOLLAND;X;;TIM HOLLAND;X;;TIM HOLLAND;X;;TIM HOLLAND;X;;
ROB FRUCHTMAN;TRUE;Apprentice Sound Editors;Sound Department;Apocalypse Now;rob fruchtman;;;ROB FRUCHTMAN;X;;ROB FRUCHTMAN;X;;ROB FRUCHTMAN;X;;ROB FRUCHTMAN;X;;ROB FRUCHTMAN;X;;ROB FRUCHTMAN;X;;ROB FRUCHTMAN;X;;
Philippe SIMONET;TRUE;Mixeur;Sound Department;Maigret S03E01;philippe simonet;;nm0800580;Philippe Simonet;A;nm0800580;Philippe Simonet;A;nm0800580;Philippe Simonet;A;nm0800580;Philippe Simonet;A;nm0800580;Philippe Simonet;A;nm0800580;Philippe Simonet;A;nm0800580;Philippe Simonet;A;;
MARK LEVINSON;TRUE;ADR Editors;Sound Department;Se7en;mark levinson;;nm0506071;Mark Levinson;A;nm0506071;Mark Levinson;A;nm0506071;Mark Levinson;A;nm0506071;Mark Levinson;A;nm0506071;Mark Levinson;A;nm0506071;Mark Levinson;A;nm0506071;Mark Levinson;A;;
SEAN CALLERY;TRUE;Assistant SFX Editors;Sound Department;Se7en;sean callery;;nm0130478;Sean Callery;A;nm0130478;Sean Callery;A;nm0130478;Sean Callery;A;nm0130478;Sean Callery;A;nm0130478;Sean Callery;A;nm0130478;Sean Callery;A;nm0130478;Sean Callery;A;;
MARGIE O'MALLEY;TRUE;Foley Artists;Sound Department;Se7en;margie o malley;;nm0641757;Margie O'Malley;A;nm0641757;Margie O'Malley;A;nm0641757;Margie O'Malley;A;nm0641757;Margie O'Malley;A;nm0641757;Margie O'Malley;A;nm0641757;Margie O'Malley;A;nm0641757;Margie O'Malley;A;;
Lorenz Hart;TRUE;WITH A SONG IN MY HEART;Soundtrack;Amelie;lorenz hart;;nm0366414;Lorenz Hart;A;nm0366414;Lorenz Hart;A;nm0366414;Lorenz Hart;A;nm0366414;Lorenz Hart;A;nm0366414;Lorenz Hart;A;nm0366414;Lorenz Hart;A;nm0366414;Lorenz Hart;A;;
