nome;is_person;role_detail;role_group;numero_episodio;imdb_nconst_88;nome_corretto_imdb_88;imdb_action_88;imdb_nconst_90;nome_corretto_imdb_90;imdb_action_90;imdb_nconst_92;nome_corretto_imdb_92;imdb_action_92;imdb_nconst_94;nome_corretto_imdb_94;imdb_action_94;imdb_nconst_96;nome_corretto_imdb_96;imdb_action_96;imdb_nconst_98;nome_corretto_imdb_98;imdb_action_98;imdb_nconst_99;nome_corretto_imdb_99;imdb_action_99;HUMAN nome imdb corretto;HUMAN codice imdb corretto
ADRIAN DUDAK;TRUE;DMPs;Visual Effects;Chernobyl S01E01;nm9611207;Adrian Dudak;A;nm9611207;Adrian Dudak;A;nm9611207;Adrian Dudak;A;nm9611207;Adrian Dudak;A;nm9611207;Adrian Dudak;A;nm9611207;Adrian Dudak;A;nm9611207;Adrian Dudak;A;;
ADRIAN RAWLINS;TRUE;Nikolai Fomin;Cast;Chernobyl S01E01;nm0712628;Adrian Rawlins;A;nm0712628;Adrian Rawlins;A;nm0712628;Adrian Rawlins;A;nm0712628;Adrian Rawlins;A;nm0712628;Adrian Rawlins;A;nm0712628;Adrian Rawlins;A;nm0712628;Adrian Rawlins;A;;
ADRIAN RAWLINS;TRUE;;Cast;Chernobyl S01E01;nm0712628;Adrian Rawlins;A;nm0712628;Adrian Rawlins;A;nm0712628;Adrian Rawlins;A;nm0712628;Adrian Rawlins;A;nm0712628;Adrian Rawlins;A;nm0712628;Adrian Rawlins;A;nm0712628;Adrian Rawlins;A;;
CHRISTOPHER RAYMOND;TRUE;"""b"" camera second assistant";Camera and Electrical Department;Eternal Sunshine of the Spotless Mind;nm0713228;Christopher Raymond;A;nm0713228;Christopher Raymond;A;nm0713228;Christopher Raymond;A;nm0713228;Christopher Raymond;A;nm0713228;Christopher Raymond;A;nm0713228;Christopher Raymond;A;nm0713228;Christopher Raymond;A;;
Mathieu Junot;TRUE;1er assistant;Art Department;Amelie;nm0432749;Mathieu Junot;A;nm0432749;Mathieu Junot;A;nm0432749;Mathieu Junot;A;nm0432749;Mathieu Junot;A;nm0432749;Mathieu Junot;A;nm0432749;Mathieu Junot;A;nm0432749;Mathieu Junot;A;;
Adriana Pissardini;TRUE;Katharina;Voice Actors - Dubbing;Dark S01E09;nm8386577;Adriana Pissardini;A;nm8386577;Adriana Pissardini;A;nm8386577;Adriana Pissardini;A;nm8386577;Adriana Pissardini;A;nm8386577;Adriana Pissardini;A;nm8386577;Adriana Pissardini;A;nm8386577;Adriana Pissardini;A;;
Adriano Saleri;TRUE;Neofascista 2;Cast;Romanzo criminale S01E01;nm2663676;Adriano Saleri;A;nm2663676;Adriano Saleri;A;nm2663676;Adriano Saleri;A;nm2663676;Adriano Saleri;A;nm2663676;Adriano Saleri;A;nm2663676;Adriano Saleri;A;nm2663676;Adriano Saleri;A;;
Agata Dąbrowska;TRUE;Koordynacja projektu;Voice Actors - Dubbing;El desorden que dejas S01E03;;Agata Dąbrowska;X;;Agata Dąbrowska;X;;Agata Dąbrowska;X;;Agata Dąbrowska;X;;Agata Dąbrowska;X;;Agata Dąbrowska;X;;Agata Dąbrowska;X;;
Agata Malyszko;TRUE;Polina;Cast;La grande bellezza;nm6040563;Agata Malyszko;A;nm6040563;Agata Malyszko;A;nm6040563;Agata Malyszko;A;nm6040563;Agata Malyszko;A;nm6040563;Agata Malyszko;A;nm6040563;Agata Malyszko;A;nm6040563;Agata Malyszko;A;;
Agatha Paulita;TRUE;;Voice Actors - Dubbing;Dark S01E09;nm11395912;Agatha Paulita;A;nm11395912;Agatha Paulita;A;nm11395912;Agatha Paulita;A;nm11395912;Agatha Paulita;A;nm11395912;Agatha Paulita;A;nm11395912;Agatha Paulita;A;nm11395912;Agatha Paulita;A;;
